symbol,name,strategy,price,vol_ratio,status
402340.KS,SK스퀘어,K-Weinstein,514000.0,1.767420567245597,Stage 2 유지
105560.KS,KB금융,K-Weinstein,149300.0,3.366161127455305,Stage 2 유지
028260.KS,삼성물산,K-Weinstein,289500.0,1.819831684946484,Stage 2 유지
055550.KS,신한지주,K-Weinstein,93600.0,1.7809678884455462,Stage 2 유지
086790.KS,하나금융지주,K-Weinstein,114600.0,1.5516986097365884,Stage 2 유지
316140.KS,우리금융지주,K-Weinstein,32450.0,1.442882864624332,Stage 2 유지
352820.KS,하이브,K-Weinstein,355500.0,2.520373350974517,Stage 2 유지
017670.KS,SK텔레콤,K-Weinstein,69200.0,1.4471569700650706,Stage 2 유지
030200.KS,KT,K-Weinstein,56300.0,1.3523301018863199,Stage 2 유지
323410.KS,카카오뱅크,K-Weinstein,26000.0,1.4188094396842021,Stage 2 유지
009830.KS,한화솔루션,K-Weinstein,42000.0,7.162775339272928,Stage 2 유지
032640.KS,LG유플러스,K-Weinstein,15510.0,1.4968445541553717,Stage 2 유지
138930.KS,BNK금융지주,K-Weinstein,18500.0,1.4063239989195062,Stage 2 유지
175330.KS,JB금융지주,K-Weinstein,28400.0,2.1283183841819264,Stage 2 유지
251270.KS,넷마블,K-Weinstein,54700.0,5.218183595400806,돌파
017800.KS,현대엘리베이터,K-Weinstein,102200.0,2.292873382471424,Stage 2 유지
489790.KS,한화비전,K-Weinstein,66800.0,2.08962717536924,Stage 2 유지
008930.KS,한미사이언스,K-Weinstein,46450.0,1.3407839921083524,Stage 2 유지
